0 - slope: 356.0790413873869, exponent: -0.15457178881808425
5 - slope: 357.5075802240973, exponent: -0.15917389187013106
10 - slope: 363.9081336897539, exponent: -0.164183196728663
15 - slope: 376.97696377360364, exponent: -0.1716240900907101
20 - slope: 381.5502260474112, exponent: -0.1763983291605366
25 - slope: 382.49170479267434, exponent: -0.18046888426679578
30 - slope: 391.10109255201917, exponent: -0.18621953173053546
35 - slope: 393.2249312408048, exponent: -0.19012019426412355
40 - slope: 408.7129635202245, exponent: -0.1972170480300659
45 - slope: 414.227246999858, exponent: -0.2019875493021886
50 - slope: 413.92232655662946, exponent: -0.205560810227403
55 - slope: 421.0678267773341, exponent: -0.21055235586250956
60 - slope: 434.56550448330984, exponent: -0.21702244303393717
